publication,source_folder,output_folder,title,date,year,issue_number,slug,page_count,front_cover,back_cover,status
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\6-10-59-2,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-06-10-issue-2,"Midwest Racing News - June 10, 1959",1959-06-10,1959,2,1959-06-10-issue-2,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\6-17-59-3,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-06-17-issue-3,"Midwest Racing News - June 17, 1959",1959-06-17,1959,3,1959-06-17-issue-3,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\6-24-59-4,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-06-24-issue-4,"Midwest Racing News - June 24, 1959",1959-06-24,1959,4,1959-06-24-issue-4,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\6-3-59-1,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-06-03-issue-1,"Midwest Racing News - June 3, 1959",1959-06-03,1959,1,1959-06-03-issue-1,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\7-1-59-5,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-07-01-issue-5,"Midwest Racing News - July 1, 1959",1959-07-01,1959,5,1959-07-01-issue-5,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\7-15-59-7,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-07-15-issue-7,"Midwest Racing News - July 15, 1959",1959-07-15,1959,7,1959-07-15-issue-7,10,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\7-22-59-8,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-07-22-issue-8,"Midwest Racing News - July 22, 1959",1959-07-22,1959,8,1959-07-22-issue-8,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\7-29-59-9,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-07-29-issue-9,"Midwest Racing News - July 29, 1959",1959-07-29,1959,9,1959-07-29-issue-9,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\7-8-59-6,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-07-08-issue-6,"Midwest Racing News - July 8, 1959",1959-07-08,1959,6,1959-07-08-issue-6,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\8-12-59-11,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-08-12-issue-11,"Midwest Racing News - August 12, 1959",1959-08-12,1959,11,1959-08-12-issue-11,10,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\8-19-59-12,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-08-19-issue-12,"Midwest Racing News - August 19, 1959",1959-08-19,1959,12,1959-08-19-issue-12,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\8-26-59-13,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-08-26-issue-13,"Midwest Racing News - August 26, 1959",1959-08-26,1959,13,1959-08-26-issue-13,10,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\8-5-59-10,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-08-05-issue-10,"Midwest Racing News - August 5, 1959",1959-08-05,1959,10,1959-08-05-issue-10,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\9-16-59-16,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-09-16-issue-16,"Midwest Racing News - September 16, 1959",1959-09-16,1959,16,1959-09-16-issue-16,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\9-2-59-14,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-09-02-issue-14,"Midwest Racing News - September 2, 1959",1959-09-02,1959,14,1959-09-02-issue-14,8,front_cover.jpg,back_cover.jpg,created
Midwest Racing News,C:\Users\schaf\racing-museum\public\media\newspapers\_inbox\Midwest Racing News\9-9-59-15,C:\Users\schaf\racing-museum\public\media\newspapers\midwest-racing-news\1959-09-09-issue-15,"Midwest Racing News - September 9, 1959",1959-09-09,1959,15,1959-09-09-issue-15,10,front_cover.jpg,back_cover.jpg,created
