table_index,row_index,cell_count,cell_1,cell_1_url,cell_2,cell_2_url,cell_3,cell_3_url,cell_4,cell_4_url,cell_5,cell_5_url
0,0,2,Wisconsin Challenge Series Viewing Series Seasons View Also: Seasons - Drivers - All-Time W - T5 - T10 - Track Lists - Misc. Info on Right,https://www.thethirdturn.com/wiki/Wisconsin_Challenge_Series_Central,,,,,,,,
1,0,1,Series Overview,,,,,,,,,
1,1,1,Alternatively Known As: {{{FormerlyKnown}}},,,,,,,,,
1,2,2,Series Founded: 2001,,Series active!,,,,,,,
1,3,2,Car Style: Late Model,,Region: Wisconsin,,,,,,,
1,4,1,Quick Stats,,,,,,,,,
1,5,2,Most Wins: Nathan Haseleu (10),https://www.thethirdturn.com/wiki/Nathan_Haseleu,Most Titles: Nathan Haseleu & Mark Eswein (3),https://www.thethirdturn.com/wiki/Nathan_Haseleu,,,,,,
1,6,2,Number of Races: 81,,Number of Drivers: 376,,,,,,,
1,7,1,Project Status : Complete,https://www.thethirdturn.com/wiki/The_Third_Turn:Projects#Project_Status,,,,,,,,
1,8,1,The series was dormant between 2010 and 2016.,,,,,,,,,
2,0,5,Season,,Races,,Champion,,Margin,,Most Wins,
2,1,5,2001,https://www.thethirdturn.com/wiki/2001_Wisconsin_Challenge_Series_Central,3,,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,+4,,Kirby Kurth (2),https://www.thethirdturn.com/wiki/Kirby_Kurth
2,2,5,2002,https://www.thethirdturn.com/wiki/2002_Wisconsin_Challenge_Series_Central,7,,Gary Back,https://www.thethirdturn.com/wiki/Gary_Back,+7,,Seven Drivers (1),
2,3,5,2003,https://www.thethirdturn.com/wiki/2003_Wisconsin_Challenge_Series_Central,10,,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,+96,,Erik Darnell (3),https://www.thethirdturn.com/wiki/Erik_Darnell
2,4,5,2004,https://www.thethirdturn.com/wiki/2004_Wisconsin_Challenge_Series_Central,8,,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,+79,,Adam Royle & Charlie Menard (2),https://www.thethirdturn.com/wiki/Adam_Royle
2,5,5,2005,https://www.thethirdturn.com/wiki/2005_Wisconsin_Challenge_Series_Central,9,,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,+180,,Nathan Haseleu (3),https://www.thethirdturn.com/wiki/Nathan_Haseleu
2,6,5,2006,https://www.thethirdturn.com/wiki/2006_Wisconsin_Challenge_Series_Central,11,,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,+38,,Nathan Haseleu (4),https://www.thethirdturn.com/wiki/Nathan_Haseleu
2,7,5,2007,https://www.thethirdturn.com/wiki/2007_Wisconsin_Challenge_Series_Central,11,,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,+39,,Nathan Haseleu (2),https://www.thethirdturn.com/wiki/Nathan_Haseleu
2,8,5,2008,https://www.thethirdturn.com/wiki/2008_Wisconsin_Challenge_Series_Central,6,,Steve Holzhausen,https://www.thethirdturn.com/wiki/Steve_Holzhausen,+23,,No repeat winners,
2,9,5,2009,https://www.thethirdturn.com/wiki/2009_Wisconsin_Challenge_Series_Central,5,,Mark Eswein,https://www.thethirdturn.com/wiki/Mark_Eswein,+41,,No repeat winners,
2,10,5,2017,https://www.thethirdturn.com/wiki/2017_Wisconsin_Challenge_Series_Central,4,,Chris Weinkauf,https://www.thethirdturn.com/wiki/Chris_Weinkauf,+24,,Chris Weinkauf (2),https://www.thethirdturn.com/wiki/Chris_Weinkauf
2,11,5,2018,https://www.thethirdturn.com/wiki/2018_Wisconsin_Challenge_Series_Central,4,,Ryan Farrell,https://www.thethirdturn.com/wiki/Ryan_Farrell,+19,,No repeat winners,
2,12,5,2019,https://www.thethirdturn.com/wiki/2019_Wisconsin_Challenge_Series_Central,3,,John Beale,https://www.thethirdturn.com/wiki/John_Beale,+13,,John Beale (2),https://www.thethirdturn.com/wiki/John_Beale
