id,series_id,season_id,race_number,race_date,track_id
253,3,41,1,7/8/2001,69
254,3,41,2,8/5/2001,69
255,3,41,3,9/3/2001,49
256,3,42,1,5/5/2002,41
257,3,42,2,5/19/2002,69
258,3,42,3,5/26/2002,119
259,3,42,4,6/27/2002,193
260,3,42,5,7/3/2002,49
261,3,42,6,8/11/2002,69
262,3,42,7,9/2/2002,49
263,3,43,1,4/12/2003,49
264,3,43,2,5/4/2003,41
265,3,43,3,5/26/2003,69
266,3,43,4,6/7/2003,119
267,3,43,5,6/26/2003,193
268,3,43,6,7/3/2003,49
269,3,43,7,7/27/2003,1
270,3,43,8,8/7/2003,119
271,3,43,9,8/18/2003,105
272,3,43,10,9/5/2003,69
273,3,44,1,4/10/2004,49
274,3,44,2,5/31/2004,69
275,3,44,3,6/6/2004,89
276,3,44,4,6/19/2004,119
277,3,44,5,7/25/2004,1
278,3,44,6,7/30/2004,69
279,3,44,7,8/15/2004,41
280,3,44,8,9/11/2004,119
281,3,45,1,4/9/2005,49
282,3,45,2,5/15/2005,217
283,3,45,3,5/21/2005,89
284,3,45,4,5/29/2005,69
285,3,45,5,6/21/2005,217
286,3,45,6,7/2/2005,49
287,3,45,7,7/16/2005,119
288,3,45,8,7/29/2005,69
289,3,45,9,9/10/2005,119
290,3,46,1,4/2/2006,174
291,3,46,2,5/7/2006,31
292,3,46,3,5/21/2006,217
293,3,46,4,5/29/2006,69
294,3,46,5,7/2/2006,49
295,3,46,6,7/15/2006,119
296,3,46,7,7/29/2006,69
297,3,46,8,8/19/2006,217
298,3,46,9,8/27/2006,125
299,3,46,10,9/8/2006,31
300,3,46,11,9/16/2006,119
301,3,47,1,4/15/2007,174
302,3,47,2,5/6/2007,31
303,3,47,3,5/12/2007,49
304,3,47,4,5/28/2007,69
305,3,47,5,6/9/2007,217
306,3,47,6,6/9/2007,217
307,3,47,7,6/30/2007,49
308,3,47,8,7/14/2007,119
309,3,47,9,7/27/2007,69
310,3,47,10,9/7/2007,31
311,3,47,11,9/15/2007,119
312,3,48,1,5/26/2008,69
313,3,48,2,6/14/2008,217
314,3,48,3,7/5/2008,49
315,3,48,4,7/19/2008,217
316,3,48,5,8/1/2008,69
317,3,48,6,8/23/2008,119
318,3,49,1,5/25/2009,69
319,3,49,2,6/13/2009,119
320,3,49,3,7/4/2009,49
321,3,49,4,7/31/2009,69
322,3,49,5,9/13/2009,119
323,3,50,1,6/1/2017,193
324,3,50,2,6/24/2017,49
325,3,50,3,7/14/2017,69
326,3,50,4,8/19/2017,119
327,3,51,1,6/28/2018,193
328,3,51,2,7/4/2018,69
329,3,51,3,8/11/2018,119
330,3,51,4,9/8/2018,49
331,3,52,1,6/6/2019,193
332,3,52,2,7/13/2019,119
333,3,52,3,8/9/2019,69
