source_track_name,museum_track_name,track_id,track_slug,match_status,review_action,notes
Auto City Speedway,Auto City Speedway,,auto-city-speedway,,,
Baer Field Motorsports Park,Baer Field Motorsports Park,,baer-field-motorsports-park,,,
Berlin Raceway,Berlin Raceway,,berlin-raceway,,,
Bolivar Speedway,Bolivar Speedway,,bolivar-speedway,,,
Colorado National Speedway,Colorado National Speedway,,colorado-national-speedway,,,
Corrigan Oil Speedway,Corrigan Oil Speedway,,corrigan-oil-speedway,,,
Delaware Speedway,Delaware Speedway,,delaware-speedway,,,
Dells Raceway Park,Dells Raceway Park,,dells-raceway-park,,,
Elko Speedway,Elko Speedway,,elko-speedway,,,
Escanaba International Raceway,Escanaba International Raceway,,escanaba-international-raceway,,,
Golden Sands Speedway,Golden Sands Speedway,,golden-sands-speedway,,,
Grundy County Speedway,Grundy County Speedway,,grundy-county-speedway,,,
Hawkeye Downs Speedway,Hawkeye Downs Speedway,,hawkeye-downs-speedway,,,
I-70 Motorsports Park,I-70 Motorsports Park,,i-70-motorsports-park,,,
"I-94 Speedway (Sauk Centre, MN)","I-94 Speedway (Sauk Centre, MN)",,i-94-speedway-sauk-centre-mn,,,
Illiana Motor Speedway,Illiana Motor Speedway,,illiana-motor-speedway,,,
Kalamazoo Speedway,Kalamazoo Speedway,,kalamazoo-speedway,,,
LaCrosse Fairgrounds Speedway,LaCrosse Fairgrounds Speedway,,lacrosse-fairgrounds-speedway,,,
Lake Geneva Raceway,Lake Geneva Raceway,,lake-geneva-raceway,,,
Lakeside Speedway,Lakeside Speedway,,lakeside-speedway,,,
Lebanon I-44 Speedway,Lebanon I-44 Speedway,,lebanon-i-44-speedway,,,
Madison International Speedway,Madison International Speedway,,madison-international-speedway,,,
Marshfield Motor Speedway,Marshfield Motor Speedway,,marshfield-motor-speedway,,,
Milwaukee Mile,Milwaukee Mile,,milwaukee-mile,,,
Minnesota State Fair Speedway,Minnesota State Fair Speedway,,minnesota-state-fair-speedway,,,
Mount Clemens Speedway,Mount Clemens Speedway,,mount-clemens-speedway,,,
Norway Speedway,Norway Speedway,,norway-speedway,,,
Owosso Speedway,Owosso Speedway,,owosso-speedway,,,
Raceway Park (IL),Raceway Park (IL),,raceway-park-il,,,
Raceway Park (MN),Raceway Park (MN),,raceway-park-mn,,,
Rockford Speedway,Rockford Speedway,,rockford-speedway,,,
State Park Speedway,State Park Speedway,,state-park-speedway,,,
Toledo Speedway,Toledo Speedway,,toledo-speedway,,,
Wisconsin International Raceway,Wisconsin International Raceway,,wisconsin-international-raceway,,,
World Wide Technology Raceway at Gateway,World Wide Technology Raceway at Gateway,,world-wide-technology-raceway-at-gateway,,,
