series_id,season_year,race_number,race_date,third_turn_track_name,track_name,track_slug,winner_name,race_title,source_url,notes
64,2012,1,2012-06-17,Wilmot Raceway,Wilmot Raceway,wilmot-raceway-wi,Lance Arneson,Modified Nationals:2012-05,https://www.thethirdturn.com/wiki/Modified_Nationals:2012-05,
64,2012,2,2012-06-27,141 Speedway,141 Speedway,141-speedway-wi,Tim Lemirande,2012 Clash at the Creek,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek,
64,2012,3,2012-07-20,Dodge County Fairgrounds Speedway,Dodge County Fairgrounds,dodge-county-fairgrounds-wi,Mitch McGrath,Badger Mod Tour:2012-03,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-03,
64,2012,4,2012-07-29,Beaver Dam Raceway,Beaver Dam Raceway,beaver-dam-raceway-wi,Mitch McGrath,Badger Mod Tour:2012-04,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-04,
64,2012,5,2012-08-21,Oshkosh Speedzone Raceway,Oshkosh Speed Zone,oshkosh-speed-zone-wi,Mitch McGrath,Badger Mod Tour:2012-05,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-05,
64,2012,6,2012-08-23,Manitowoc Speedway,Manitowoc Expo Speedway,manitowoc-expo-speedway-wi,Benji LaCrosse,Badger Mod Tour:2012-06,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-06,
64,2012,7,2012-10-05,141 Speedway,141 Speedway,141-speedway-wi,Brian Mullen,Badger Mod Tour:2012-07,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-07,
64,2013,1,2013-05-25,Shawano Fairgrounds,Shawano Speedway,shawano-speedway-wi,Benji LaCrosse,Badger Mod Tour:2013-01,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-01,
64,2013,2,2013-06-16,Wilmot Raceway,Wilmot Raceway,wilmot-raceway-wi,Mitch McGrath,Modified Nationals:2013-04,https://www.thethirdturn.com/wiki/Modified_Nationals:2013-04,
64,2013,3,2013-07-04,Eagle River Speedway,Eagle River Speedway,eagle-river-speedway-wi,Mitch McGrath,Badger Mod Tour:2013-03,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-03,
64,2013,4,2013-07-12,Dodge County Fairgrounds Speedway,Dodge County Fairgrounds,dodge-county-fairgrounds-wi,Tim Lemirande,Badger Mod Tour:2013-04,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-04,
64,2013,5,2013-07-19,Oshkosh Speedzone Raceway,Oshkosh Speed Zone,oshkosh-speed-zone-wi,Benji LaCrosse,Badger Mod Tour:2013-05,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-05,
64,2013,6,2013-08-04,Outagamie Speedway,Seymour Speedway,seymour-speedway-wi,Mitch McGrath,Badger Mod Tour:2013-06,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-06,
64,2013,7,2013-10-04,141 Speedway,141 Speedway,141-speedway-wi,Jay Matthias,Badger Mod Tour:2013-07,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-07,
