series_id,season_id,race_number,race_date,track_name,winner_name,source_url
64,53,1,2012-06-17,Wilmot Raceway,Lance Arneson,https://www.thethirdturn.com/wiki/Modified_Nationals:2012-05
64,53,2,2012-06-27,141 Speedway,Tim Lemirande,https://www.thethirdturn.com/wiki/2012_Clash_at_the_Creek
64,53,3,2012-07-20,Dodge County Fairgrounds,Mitch McGrath,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-03
64,53,4,2012-07-29,Beaver Dam Raceway,Mitch McGrath,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-04
64,53,5,2012-08-21,Oshkosh Speed Zone,Mitch McGrath,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-05
64,53,6,2012-08-23,Manitowoc Expo Speedway,Benji LaCrosse,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-06
64,53,7,2012-10-05,141 Speedway,Brian Mullen,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2012-07
64,54,1,2013-05-25,Shawano Speedway,Benji LaCrosse,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-01
64,54,2,2013-06-16,Wilmot Raceway,Mitch McGrath,https://www.thethirdturn.com/wiki/Modified_Nationals:2013-04
64,54,3,2013-07-04,Eagle River Speedway,Mitch McGrath,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-03
64,54,4,2013-07-12,Dodge County Fairgrounds,Tim Lemirande,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-04
64,54,5,2013-07-19,Oshkosh Speed Zone,Benji LaCrosse,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-05
64,54,6,2013-08-04,Seymour Speedway,Mitch McGrath,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-06
64,54,7,2013-10-04,141 Speedway,Jay Matthias,https://www.thethirdturn.com/wiki/Badger_Mod_Tour:2013-07
