standings_driver_name,museum_driver_name,driver_id,driver_slug,match_status,review_action,notes,,,,
Rod Snellenberger,,,,,,,,,,
Dan Michonski,,,,,,,,,,standings_driver_name
Scott Stewart,,,,,,,,,,museum_driver_name
Justin Jacobson,,,,,,,,,,driver_id
Kyle Frederick,,,,,,,,,,driver_slug
Dustin Loberger,,,,,,,,,,match_status
John Heinz,,,,,,,,,,review_action
Tyler Smith,,,,,,,,,,notes
Devin Snellenberger,,,,,,,,,,
"Larry Karcz, Jr.",,,,,,,,,,
Mark Schunemann,,,,,,,,,,
Dave DeGrave,,,,,,,,,,
Mike Schmidt,,,,,,,,,,
Luke Lemmens,,,,,,,,,,
David Bouche,,,,,,,,,,
Jamie Suchocki,,,,,,,,,,
Jerry Leary,,,,,,,,,,
Scott Reinhardt,,,,,,,,,,
Eric Arneson,,,,,,,,,,
David Hoerning,,,,,,,,,,
