,Driver,Points,Starts,Wins,Top 5,Top 10,slug,id
1,Rod Snellenberger,510,6,2,4,4,rod-snellenberger,43691
2,Dan Michonski,480,6,0,1,5,dan-michonski,29403
3,Scott Stewart,476,5,1,2,3,scott-stewart,44940
4,Justin Jacobsen,467,6,0,1,4,justin-jacobsen,24979
5,Kyle Frederick,459,5,1,3,3,kyle-frederick,38803
6,Dustin Loberger,450,6,1,1,3,dustin-loberger,31823
7,John Heinz,443,5,0,3,3,john-heinz,37013
8,Tyler Smith,433,5,1,1,3,tyler-smith,47489
9,Devin Snellenberger,420,4,0,2,3,devin-snellenberger,30863
10,"Larry Karcz, Jr.",416,5,0,0,2,larry-karcz-jr,39044
11,Mark Schuenemann,393,5,0,1,1,mark-schuenemann,40079
12,Dave DeGrave,380,4,0,1,1,dave-degrave,29862
13,Mike Schmidt,374,4,0,0,0,mike-schmidt,41237
14,Luke Lemmens,370,4,0,1,2,luke-lemmens,39714
15,Dave Bouche,366,3,0,1,2,dave-bouche,29817
16,Jamie Suchocki,359,4,0,0,2,jamie-suchocki,34467
17,Jerry Leary,355,4,0,0,1,jerry-leary,35502
18,Scott Reinhardt,346,3,0,0,1,scott-reinhardt,44894
19,Eric Arneson,344,4,0,1,2,eric-arneson,32253
20,David Hoerning,336,4,0,0,0,david-hoerning,30335
